"label","rgb","hex","imageUrl"
"White","rgb(255,255,255)","#FFFFFF","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Sport Grey","rgb(202,202,202)","#CACACA","https://images-merch.printify.com/api/file/5853fecfce46f30f832820b5"
"Ice Grey","rgb(215,214,211)","#D7D6D3","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Heather Military Green","rgb(130,128,103)","#828067","https://images-merch.printify.com/api/file/5853fecfce46f30f832820df"
"Graphite Heather","rgb(121,124,126)","#797C7E",""
"Dark Heather","rgb(69,69,69)","#454545","https://images-merch.printify.com/api/file/5853fed0ce46f30f8328211b"
"Heather Indigo","rgb(106,121,142)","#6A798E","https://images-merch.printify.com/api/file/5853fecfce46f30f832820ee"
"Dark Heather Grey","rgb(58,61,66)","#3A3D42",""
"Heather Navy","rgb(66,71,83)","#424753","https://images-merch.printify.com/api/file/5853fecfce46f30f832820f1"
"Charcoal","rgb(88,85,89)","#585559","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Black","rgb(0,0,0)","#000000","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Antique Cherry Red","rgb(168,34,53)","#A82235","https://images-merch.printify.com/api/file/5853fed0ce46f30f8328211e"
"Cherry Red","rgb(180,26,41)","#B41A29","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Heather Red","rgb(227,82,95)","#E3525F","https://images-merch.printify.com/api/file/5853fecfce46f30f832820dc"
"Red","rgb(198,42,50)","#C62A32","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Dark Chocolate","rgb(49,34,29)","#31221D","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Heather Maroon","rgb(116,58,76)","#743A4C",""
"Maroon","rgb(100,40,56)","#642838","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Cardinal Red","rgb(145,26,48)","#911A30","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Heather Cardinal","rgb(181,69,87)","#B54557","https://images-merch.printify.com/api/file/5853fed0ce46f30f8328212a"
"Sand","rgb(220,210,190)","#DCD2BE","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Natural","rgb(255,246,227)","#FFF6E3","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Orange","rgb(234,95,34)","#EA5F22","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Gold","rgb(255,184,28)","#FFB81C","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Daisy","rgb(254,209,65)","#FED141","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Cornsilk","rgb(247,239,143)","#F7EF8F","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Pistachio","rgb(211,213,144)","#D3D590","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Kiwi","rgb(143,167,73)","#8FA749","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Lime","rgb(158,196,108)","#9EC46C","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Mint Green","rgb(177,224,192)","#B1E0C0","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Sage","rgb(164,176,158)","#A4B09E",""
"Irish Green","rgb(39,148,54)","#279436","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Kelly Green","rgb(0,150,96)","#009660","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Military Green","rgb(98,102,76)","#62664C","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Forest Green","rgb(34,59,38)","#223B26","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Heather Irish Green","rgb(109,237,165)","#6DEDA5","https://images-merch.printify.com/api/file/5853fecfce46f30f832820eb"
"Jade Dome","rgb(25,153,138)","#19998A","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Tropical Blue","rgb(0,151,169)","#0097A9","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Antique Sapphire","rgb(0,130,174)","#0082AE","https://images-merch.printify.com/api/file/5853fecfce46f30f832820d6"
"Sapphire","rgb(0,128,181)","#0080B5","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Heather Sapphire","rgb(89,161,206)","#59A1CE","https://images-merch.printify.com/api/file/5853fecfce46f30f832820e8"
"Indigo Blue","rgb(71,101,121)","#476579","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Stone Blue","rgb(127,144,156)","#7F909C","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Metro Blue","rgb(66,74,126)","#424A7E","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Sky","rgb(139,205,234)","#8BCDEA","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Light Blue","rgb(214,230,247)","#D6E6F7","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Carolina Blue","rgb(123,164,219)","#7BA4DB","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Heather Galapagos Blue","rgb(80,154,160)","#509AA0",""
"Iris","rgb(108,132,187)","#6C84BB","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Heather Royal","rgb(124,140,217)","#7C8CD9","https://images-merch.printify.com/api/file/5853fecfce46f30f832820e5"
"Royal","rgb(8,79,151)","#084F97","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Navy","rgb(26,34,55)","#1A2237","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Paragon","rgb(148,135,148)","#948794",""
"Heather Radiant Orchid","rgb(213,142,187)","#D58EBB",""
"Heather Purple","rgb(106,67,152)","#6A4398","https://images-merch.printify.com/api/file/5853fecfce46f30f832820e2"
"Purple","rgb(60,33,78)","#3C214E","https://images-merch.printify.com/api/file/5853fecdce46f30f832820ac"
"Light Pink","rgb(254,224,235)","#FEE0EB","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Heather Berry","rgb(231,117,191)","#E775BF",""
"Antique Heliconia","rgb(185,41,114)","#B92972","https://images-merch.printify.com/api/file/5853fecfce46f30f832820be"
"Azalea","rgb(239,143,188)","#EF8FBC","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Heliconia","rgb(223,80,134)","#DF5086","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
"Heather Heliconia","rgb(250,116,166)","#FA74A6",""
"Heather Orange","rgb(255,139,74)","#FF8B4A",""
"Coral Silk","rgb(230,115,118)","#E67376","https://images-merch.printify.com/api/file/5853fec7ce46f30f8328200a"
